,Story_ID,Emotion_Category,Rating_o,Rating_1,Rating_2,Rating_3
89,Arnold A 0.0,disgust,0.420689655,0.0,1.7,1.42
90,Arnold A 0.0,disgust,0.420689655,0.0,0.0,0.18
91,Arnold B 0.0,disgust,3.683870968,0.2,0.333333333,2.575
92,Arnold B 0.0,disgust,3.683870968,0.2,0.0,0.0
93,Arnold B 0.0,disgust,3.683870968,0.2,0.0,0.5
94,Arnold B 0.0,disgust,3.683870968,0.2,1.35,1.475
95,Arnold B 0.0,disgust,3.683870968,1.0,0.3,1.05
96,Arnold B 0.0,disgust,3.683870968,1.0,1.566666667,1.425
97,Arnold B 0.0,disgust,3.683870968,1.0,1.1,0.875
98,Arnold B 0.0,disgust,3.683870968,3.216666667,0.0,0.6
99,Arnold B 0.0,disgust,3.683870968,3.216666667,3.333333333,1.45
100,Arnold B 0.0,disgust,3.683870968,4.52,4.633333333,5.825
101,Arnold B 0.0,disgust,3.683870968,4.52,2.833333333,5.74
102,Arnold B 0.0,disgust,3.683870968,4.52,2.966666667,4.55
103,Arnold B 0.0,disgust,3.683870968,4.52,2.966666667,0.5
104,Arnold B 0.0,disgust,3.683870968,3.62,0.133333333,0.925
105,Arnold B 0.0,disgust,3.683870968,3.62,0.633333333,0.675
106,Arnold B 0.0,disgust,3.683870968,3.62,6.15,4.666666667
107,Arnold B 0.0,disgust,3.683870968,3.62,6.15,3.3
108,Arnold B 0.0,disgust,3.683870968,4.56,1.866666667,0.925
109,Arnold B 0.0,disgust,3.683870968,4.56,2.45,1.45
110,Arnold B 0.0,disgust,3.683870968,4.56,3.566666667,3.625
111,Arnold B 0.0,disgust,3.683870968,4.46,4.0,4.425
112,Arnold B 0.0,disgust,3.683870968,4.46,1.1,1.6
113,Arnold B 0.0,disgust,3.683870968,4.46,1.1,0.025
114,Arnold B 0.0,disgust,3.683870968,4.46,3.6,4.5
115,Arnold B 0.0,disgust,3.683870968,2.516666667,3.1,1.25
116,Arnold B 0.0,disgust,3.683870968,2.516666667,3.25,5.025
117,Arnold B 0.0,disgust,3.683870968,2.516666667,0.4,2.825
118,Arnold B 0.0,disgust,3.683870968,2.516666667,0.4,0.12
119,Arnold B 0.0,disgust,3.683870968,4.428571429,5.6,5.425
120,Arnold B 0.0,disgust,3.683870968,4.428571429,4.866666667,1.0
121,Arnold B 0.0,disgust,3.683870968,4.428571429,4.8,5.575
122,Arnold B 0.0,disgust,3.683870968,2.16,1.066666667,3.025
123,Arnold B 0.0,disgust,3.683870968,2.16,1.1,2.675
124,Arnold B 0.0,disgust,3.683870968,2.16,1.1,3.6
125,Arnold B 0.0,disgust,3.683870968,2.16,0.433333333,0.425
126,Arnold B 0.0,disgust,3.683870968,3.86,3.2,3.825
127,Arnold B 0.0,disgust,3.683870968,3.86,4.866666667,6.25
128,Arnold B 0.0,disgust,3.683870968,3.86,3.233333333,1.26
129,Arnold B 0.0,disgust,3.683870968,0.28,0.0,0.0
130,Arnold B 0.0,disgust,3.683870968,0.28,0.0,0.66
131,Arnold B 0.0,disgust,3.683870968,0.28,0.0,1.0
132,Arnold B 0.0,disgust,3.683870968,0.28,0.0,0.225
133,Arnold B 0.0,disgust,3.683870968,2.316666667,2.7,4.875
134,Arnold B 0.0,disgust,3.683870968,2.316666667,4.333333333,2.175
135,Arnold B 0.0,disgust,3.683870968,1.58,5.533333333,5.025
136,Arnold B 0.0,disgust,3.683870968,1.58,5.533333333,4.4
137,Arnold B 0.0,disgust,3.683870968,1.58,2.333333333,5.0
138,Arnold B 0.0,disgust,3.683870968,1.58,0.8,1.875
139,Arnold B 0.0,disgust,3.683870968,0.533333333,0.466666667,1.95
140,Arnold B 0.0,disgust,3.683870968,0.533333333,0.05,0.0
141,Arnold B 0.0,disgust,3.683870968,0.533333333,2.033333333,0.0
142,Arnold B 0.0,disgust,3.683870968,4.933333333,5.866666667,4.525
143,Arnold B 0.0,disgust,3.683870968,4.933333333,2.766666667,3.95
144,Arnold B 0.0,disgust,3.683870968,4.933333333,6.7,0.0
145,Arnold B 0.0,disgust,3.683870968,1.76,1.866666667,0.725
146,Arnold B 0.0,disgust,3.683870968,1.76,1.066666667,0.0
147,Arnold B 0.0,disgust,3.683870968,1.76,1.066666667,1.8
148,Arnold B 0.0,disgust,3.683870968,1.76,3.6,1.975
149,Arnold B 0.0,disgust,3.683870968,2.175,0.333333333,0.48
150,Arnold B 0.0,disgust,3.683870968,2.175,0.333333333,0.875
151,Arnold B 0.0,disgust,3.683870968,2.175,0.625,0.625
152,Arnold B 0.0,disgust,3.683870968,2.175,2.275,4.375
153,Arnold B 0.0,disgust,3.683870968,3.916666667,1.3,4.625
154,Arnold B 0.0,disgust,3.683870968,3.916666667,4.85,3.925
155,Arnold B 0.0,disgust,3.683870968,4.266666667,1.4,1.65
156,Arnold B 0.0,disgust,3.683870968,4.266666667,3.25,3.9
157,Arnold B 0.0,disgust,3.683870968,4.266666667,4.0,4.95
158,Arnold B 0.0,disgust,3.683870968,2.483333333,2.025,0.125
159,Arnold B 0.0,disgust,3.683870968,2.483333333,0.033333333,0.675
160,Arnold B 0.0,disgust,3.683870968,3.26,3.425,2.85
161,Arnold B 0.0,disgust,3.683870968,3.26,3.3,0.6
162,Arnold B 0.0,disgust,3.683870968,2.42,0.75,0.4
163,Arnold B 0.0,disgust,3.683870968,2.42,0.75,0.25
164,Arnold B 0.0,disgust,3.683870968,2.42,1.05,0.86
165,Arnold B 0.0,disgust,3.683870968,2.42,0.0,1.2
166,Arnold B 0.0,disgust,3.683870968,3.94,3.95,3.775
167,Arnold B 0.0,disgust,3.683870968,3.94,3.075,4.45
168,Arnold B 0.0,disgust,3.683870968,3.94,4.775,4.15
169,Arnold B 0.0,disgust,3.683870968,0.471428571,0.0,0.0
170,Arnold B 0.0,disgust,3.683870968,0.471428571,0.666666667,0.05
171,Arnold B 0.0,disgust,3.683870968,1.96,4.333333333,3.275
172,Arnold B 0.0,disgust,3.683870968,1.96,1.333333333,3.2
173,Arnold B 0.0,disgust,3.683870968,1.96,1.333333333,1.775
174,Arnold B 0.0,disgust,3.683870968,0.24,1.2,1.525
175,Arnold B 0.0,disgust,3.683870968,0.24,0.1,0.05
176,Arnold B 0.0,disgust,3.683870968,0.24,0.875,1.5
177,Arnold B 0.0,disgust,3.683870968,0.766666667,0.0,0.0
178,Arnold B 0.0,disgust,3.683870968,0.766666667,0.0,0.0
179,Arnold B 0.0,disgust,3.683870968,0.766666667,0.0,0.5
180,Arnold B 0.0,disgust,3.683870968,0.766666667,1.266666667,1.025
181,Arnold C 0.0,disgust,4.96,5.02,4.45,0.0
182,Arnold C 0.0,disgust,4.96,5.02,2.366666667,2.1
